sku,tractor_model,category,name,qty_per_tractor,standard_cost
ENG-100,TX-100,Engine,"Engine, TX-100",1,4480
TRN-100,TX-100,Transmission,"Transmission, TX-100",1,2800
HYD-100,TX-100,Hydraulic pump,"Hydraulic pump, TX-100",1,980
FAX-100,TX-100,Front axle,"Front axle, TX-100",1,1120
RAX-100,TX-100,Rear axle,"Rear axle, TX-100",1,1400
CAB-100,TX-100,Cab and ROPS,"Cab and ROPS, TX-100",1,1960
ECU-100,TX-100,Engine control unit,"Engine control unit, TX-100",1,420
TIR-100,TX-100,Tire set,"Tire set, TX-100",1,700
PTO-100,TX-100,PTO assembly,"PTO assembly, TX-100",1,560
FUE-100,TX-100,Fuel system,"Fuel system, TX-100",1,336
ENG-200,TX-200,Engine,"Engine, TX-200",1,9280
TRN-200,TX-200,Transmission,"Transmission, TX-200",1,5800
HYD-200,TX-200,Hydraulic pump,"Hydraulic pump, TX-200",1,2030
FAX-200,TX-200,Front axle,"Front axle, TX-200",1,2320
RAX-200,TX-200,Rear axle,"Rear axle, TX-200",1,2900
CAB-200,TX-200,Cab and ROPS,"Cab and ROPS, TX-200",1,4060
ECU-200,TX-200,Engine control unit,"Engine control unit, TX-200",1,870
TIR-200,TX-200,Tire set,"Tire set, TX-200",1,1450
PTO-200,TX-200,PTO assembly,"PTO assembly, TX-200",1,1160
FUE-200,TX-200,Fuel system,"Fuel system, TX-200",1,696
ENG-300,TX-300,Engine,"Engine, TX-300",1,23200
TRN-300,TX-300,Transmission,"Transmission, TX-300",1,14500
HYD-300,TX-300,Hydraulic pump,"Hydraulic pump, TX-300",1,5075
FAX-300,TX-300,Front axle,"Front axle, TX-300",1,5800
RAX-300,TX-300,Rear axle,"Rear axle, TX-300",1,7250
CAB-300,TX-300,Cab and ROPS,"Cab and ROPS, TX-300",1,10150
ECU-300,TX-300,Engine control unit,"Engine control unit, TX-300",1,2175
TIR-300,TX-300,Tire set,"Tire set, TX-300",1,3625
PTO-300,TX-300,PTO assembly,"PTO assembly, TX-300",1,2900
FUE-300,TX-300,Fuel system,"Fuel system, TX-300",1,1740
ENG-400,TX-400,Engine,"Engine, TX-400",1,42400
TRN-400,TX-400,Transmission,"Transmission, TX-400",1,26500
HYD-400,TX-400,Hydraulic pump,"Hydraulic pump, TX-400",1,9275
FAX-400,TX-400,Front axle,"Front axle, TX-400",1,10600
RAX-400,TX-400,Rear axle,"Rear axle, TX-400",1,13250
CAB-400,TX-400,Cab and ROPS,"Cab and ROPS, TX-400",1,18550
ECU-400,TX-400,Engine control unit,"Engine control unit, TX-400",1,3975
TIR-400,TX-400,Tire set,"Tire set, TX-400",1,6625
PTO-400,TX-400,PTO assembly,"PTO assembly, TX-400",1,5300
FUE-400,TX-400,Fuel system,"Fuel system, TX-400",1,3180
ENG-500,TX-500,Engine,"Engine, TX-500",1,76800
TRN-500,TX-500,Transmission,"Transmission, TX-500",1,48000
HYD-500,TX-500,Hydraulic pump,"Hydraulic pump, TX-500",1,16800
FAX-500,TX-500,Front axle,"Front axle, TX-500",1,19200
RAX-500,TX-500,Rear axle,"Rear axle, TX-500",1,24000
CAB-500,TX-500,Cab and ROPS,"Cab and ROPS, TX-500",1,33600
ECU-500,TX-500,Engine control unit,"Engine control unit, TX-500",1,7200
TIR-500,TX-500,Tire set,"Tire set, TX-500",1,12000
PTO-500,TX-500,PTO assembly,"PTO assembly, TX-500",1,9600
FUE-500,TX-500,Fuel system,"Fuel system, TX-500",1,5760
